round,q,jain_index,delta_F
1,1.0,0.5249195430557458,
2,1.0006746799490214,0.5242112376746475,-0.001349359898042734
3,0.9970336629677761,0.5280285617109135,0.007282033962490574
4,0.9960252581702443,0.5290934947806396,0.002016809595063413
5,0.9962876163955379,0.5288158707200297,-0.0005247164505869418
6,0.9946733803375033,0.5305231380131841,0.00322847211606907
7,0.9955426712402845,0.5296007801380045,-0.001738581805562378
8,0.9933684055391235,0.5319037657611289,0.004348531402322044
9,0.9935352226522878,0.5317263044597579,-0.00033363422632858215
10,0.992639303787465,0.5326790717139339,0.0017918377296456318
