round,client_id,num_examples,valid_loss
1,1,128,5949.15771484375
1,5,261,792.9108276367188
1,0,201,1360.220947265625
1,3,345,659.6424560546875
1,6,298,3421.027587890625
1,2,387,728.9268188476562
1,4,721,734.5791625976562
2,0,201,1275.7666015625
2,1,128,5522.45947265625
2,5,261,752.3633422851562
2,6,298,3134.69091796875
2,3,345,634.28369140625
2,2,387,696.3605346679688
2,4,721,685.0936279296875
3,0,201,1234.7568359375
3,1,128,5304.330078125
3,5,261,732.7573852539062
3,6,298,3020.044921875
3,2,387,673.217041015625
3,3,345,614.8558959960938
3,4,721,663.8583374023438
4,0,201,1213.8583984375
4,1,128,5187.89453125
4,5,261,721.552001953125
4,6,298,2961.148193359375
4,3,345,602.15625
4,2,387,657.4717407226562
4,4,721,651.9459838867188
5,0,201,1200.1861572265625
5,5,261,716.2590942382812
5,6,298,2932.25
5,2,387,648.49267578125
5,3,345,595.60693359375
5,4,721,643.298095703125
5,1,128,5124.0224609375
6,0,201,1190.8834228515625
6,1,128,5089.8916015625
6,6,298,2912.11865234375
6,3,345,590.2955322265625
6,2,387,641.5389404296875
6,5,261,712.2089233398438
6,4,721,636.1015625
7,1,128,5043.30419921875
7,0,201,1190.400634765625
7,3,345,587.1363525390625
7,2,387,637.4022827148438
7,5,261,710.596435546875
7,6,298,2897.408447265625
7,4,721,631.8246459960938
8,1,128,5020.6025390625
8,0,201,1181.1826171875
8,5,261,708.5928955078125
8,3,345,585.5906372070312
8,2,387,633.2474975585938
8,4,721,626.1910400390625
8,6,298,2883.09619140625
9,1,128,4976.203125
9,0,201,1184.8660888671875
9,3,345,584.9181518554688
9,6,298,2870.969970703125
9,2,387,630.4773559570312
9,5,261,709.784912109375
9,4,721,622.5651245117188
10,1,128,4953.1455078125
10,3,345,583.2169189453125
10,5,261,707.4781494140625
10,0,201,1186.1591796875
10,2,387,629.8150024414062
10,4,721,620.4707641601562
10,6,298,2863.853515625
