round,client_id,num_examples,valid_loss
1,1,128,6019.81689453125
1,0,201,1357.8160400390625
1,6,298,3409.479736328125
1,5,261,818.0262451171875
1,3,345,687.25537109375
1,2,387,748.8065185546875
1,4,721,763.568115234375
2,1,128,5181.5576171875
2,0,201,1390.8199462890625
2,6,298,3226.896728515625
2,5,261,879.8983764648438
2,3,345,739.8765258789062
2,2,387,802.8474731445312
2,4,721,840.704345703125
3,1,128,4910.45556640625
3,0,201,1433.658447265625
3,5,261,929.4359130859375
3,3,345,781.9689331054688
3,6,298,3156.471923828125
3,2,387,827.6603393554688
3,4,721,889.4505615234375
4,1,128,4691.0986328125
4,0,201,1453.2442626953125
4,6,298,3082.186767578125
4,3,345,803.5634155273438
4,2,387,847.090576171875
4,5,261,970.5892944335938
4,4,721,923.365966796875
5,0,201,1423.042236328125
5,1,128,4544.984375
5,5,261,979.2891235351562
5,6,298,3030.681884765625
5,3,345,806.0508422851562
5,2,387,848.6349487304688
5,4,721,928.1386108398438
6,0,201,1390.1717529296875
6,1,128,4466.16943359375
6,3,345,803.88916015625
6,5,261,975.3184814453125
6,2,387,847.2713012695312
6,6,298,3009.55029296875
6,4,721,918.3057250976562
7,0,201,1406.242431640625
7,1,128,4428.4365234375
7,5,261,978.105224609375
7,3,345,808.3748168945312
7,2,387,848.1328125
7,6,298,3007.9443359375
7,4,721,924.4866333007812
8,1,128,4398.13671875
8,0,201,1376.3726806640625
8,5,261,973.4058837890625
8,3,345,807.1974487304688
8,6,298,2996.340087890625
8,2,387,848.8753051757812
8,4,721,907.9074096679688
9,0,201,1381.76708984375
9,1,128,4376.43603515625
9,2,387,849.2730712890625
9,5,261,979.2626342773438
9,6,298,2985.537841796875
9,3,345,810.3308715820312
9,4,721,910.3828125
10,0,201,1387.9010009765625
10,1,128,4411.923828125
10,5,261,982.1126098632812
10,6,298,2969.72607421875
10,3,345,814.64111328125
10,2,387,853.7770385742188
10,4,721,914.2650756835938
