round,node_id,client_id,client_size,available
1,14573152286885705658,,,True
1,8289282568483178818,,,True
1,7517455149128888484,,,True
1,4166966549076268423,,,True
1,11465432186795472805,,,True
1,15352299779998585164,,,True
1,8829837395934803732,,,True
2,14573152286885705658,5,1042,True
2,8289282568483178818,0,803,True
2,7517455149128888484,6,1194,True
2,4166966549076268423,3,1379,True
2,11465432186795472805,4,2884,True
2,15352299779998585164,1,510,True
2,8829837395934803732,2,1550,True
3,14573152286885705658,5,1042,True
3,8289282568483178818,0,803,True
3,7517455149128888484,6,1194,True
3,4166966549076268423,3,1379,True
3,11465432186795472805,4,2884,True
3,15352299779998585164,1,510,True
3,8829837395934803732,2,1550,True
4,14573152286885705658,5,1042,True
4,8289282568483178818,0,803,True
4,7517455149128888484,6,1194,True
4,4166966549076268423,3,1379,True
4,11465432186795472805,4,2884,True
4,15352299779998585164,1,510,True
4,8829837395934803732,2,1550,True
5,14573152286885705658,5,1042,True
5,8289282568483178818,0,803,True
5,7517455149128888484,6,1194,True
5,4166966549076268423,3,1379,True
5,11465432186795472805,4,2884,True
5,15352299779998585164,1,510,True
5,8829837395934803732,2,1550,True
6,14573152286885705658,5,1042,True
6,8289282568483178818,0,803,True
6,7517455149128888484,6,1194,True
6,4166966549076268423,3,1379,True
6,11465432186795472805,4,2884,True
6,15352299779998585164,1,510,True
6,8829837395934803732,2,1550,True
7,14573152286885705658,5,1042,True
7,8289282568483178818,0,803,True
7,7517455149128888484,6,1194,True
7,4166966549076268423,3,1379,True
7,11465432186795472805,4,2884,True
7,15352299779998585164,1,510,True
7,8829837395934803732,2,1550,True
8,14573152286885705658,5,1042,True
8,8289282568483178818,0,803,True
8,7517455149128888484,6,1194,True
8,4166966549076268423,3,1379,True
8,11465432186795472805,4,2884,True
8,15352299779998585164,1,510,True
8,8829837395934803732,2,1550,True
9,14573152286885705658,5,1042,True
9,8289282568483178818,0,803,True
9,7517455149128888484,6,1194,True
9,4166966549076268423,3,1379,True
9,11465432186795472805,4,2884,True
9,15352299779998585164,1,510,True
9,8829837395934803732,2,1550,True
10,14573152286885705658,5,1042,True
10,8289282568483178818,0,803,True
10,7517455149128888484,6,1194,True
10,4166966549076268423,3,1379,True
10,11465432186795472805,4,2884,True
10,15352299779998585164,1,510,True
10,8829837395934803732,2,1550,True
