round,node_id,client_id,client_size,available
1,14913551234827330218,,,True
1,5659484463223698895,,,True
1,8583649080979639442,,,True
1,9021707170072494099,,,True
1,13517630632085115955,,,True
1,5656279330186870938,,,True
1,10073813373121391130,,,True
2,14913551234827330218,5,1042,True
2,5659484463223698895,2,1550,True
2,8583649080979639442,3,1379,True
2,9021707170072494099,4,2884,True
2,13517630632085115955,0,803,False
2,5656279330186870938,6,1194,True
2,10073813373121391130,1,510,False
3,14913551234827330218,5,1042,True
3,5659484463223698895,2,1550,True
3,8583649080979639442,3,1379,True
3,9021707170072494099,4,2884,True
3,13517630632085115955,0,803,True
3,5656279330186870938,6,1194,True
3,10073813373121391130,1,510,True
4,14913551234827330218,5,1042,True
4,5659484463223698895,2,1550,True
4,8583649080979639442,3,1379,True
4,9021707170072494099,4,2884,True
4,13517630632085115955,0,803,False
4,5656279330186870938,6,1194,True
4,10073813373121391130,1,510,False
5,14913551234827330218,5,1042,True
5,5659484463223698895,2,1550,True
5,8583649080979639442,3,1379,True
5,9021707170072494099,4,2884,False
5,13517630632085115955,0,803,True
5,5656279330186870938,6,1194,True
5,10073813373121391130,1,510,True
6,14913551234827330218,5,1042,False
6,5659484463223698895,2,1550,True
6,8583649080979639442,3,1379,False
6,9021707170072494099,4,2884,False
6,13517630632085115955,0,803,True
6,5656279330186870938,6,1194,False
6,10073813373121391130,1,510,True
7,14913551234827330218,5,1042,True
7,5659484463223698895,2,1550,False
7,8583649080979639442,3,1379,True
7,9021707170072494099,4,2884,False
7,13517630632085115955,0,803,True
7,5656279330186870938,6,1194,False
7,10073813373121391130,1,510,True
8,14913551234827330218,5,1042,True
8,5659484463223698895,2,1550,True
8,8583649080979639442,3,1379,True
8,9021707170072494099,4,2884,True
8,13517630632085115955,0,803,True
8,5656279330186870938,6,1194,True
8,10073813373121391130,1,510,True
9,14913551234827330218,5,1042,True
9,5659484463223698895,2,1550,True
9,8583649080979639442,3,1379,True
9,9021707170072494099,4,2884,True
9,13517630632085115955,0,803,False
9,5656279330186870938,6,1194,True
9,10073813373121391130,1,510,True
10,14913551234827330218,5,1042,True
10,5659484463223698895,2,1550,False
10,8583649080979639442,3,1379,True
10,9021707170072494099,4,2884,True
10,13517630632085115955,0,803,False
10,5656279330186870938,6,1194,True
10,10073813373121391130,1,510,True
