round,client_id,num_examples,valid_loss
1,1,128,5868.5908203125
1,0,201,1339.42138671875
1,5,261,803.80029296875
1,6,298,3366.14208984375
1,3,345,663.9400634765625
1,2,387,735.3614501953125
1,4,721,730.65283203125
2,1,128,5848.4404296875
2,0,201,1259.768310546875
2,3,345,584.18408203125
2,5,261,717.747802734375
2,2,387,651.462158203125
2,4,721,632.0868530273438
2,6,298,3286.83251953125
3,1,128,5510.58935546875
3,0,201,1222.70556640625
3,3,345,556.124267578125
3,2,387,616.9091796875
3,5,261,684.1543579101562
3,6,298,3176.8701171875
3,4,721,596.2127075195312
4,1,128,5352.9599609375
4,0,201,1212.5634765625
4,5,261,674.7244873046875
4,2,387,603.6604614257812
4,6,298,3125.85107421875
4,3,345,545.4907836914062
4,4,721,582.1207275390625
5,1,128,5167.80517578125
5,0,201,1178.005126953125
5,5,261,667.359130859375
5,3,345,540.7832641601562
5,2,387,603.8406982421875
5,6,298,3032.30419921875
5,4,721,602.4290161132812
6,0,201,1205.1885986328125
6,1,128,5271.1103515625
6,5,261,664.5753173828125
6,3,345,536.9913330078125
6,2,387,601.1312866210938
6,6,298,3056.088623046875
6,4,721,579.2901611328125
7,1,128,5291.14453125
7,0,201,1208.294677734375
7,5,261,662.6629028320312
7,2,387,591.1663208007812
7,3,345,534.1105346679688
7,4,721,572.4879760742188
7,6,298,3057.753662109375
8,1,128,5221.99951171875
8,0,201,1202.4151611328125
8,5,261,662.5547485351562
8,3,345,533.9559936523438
8,6,298,3035.541748046875
8,2,387,587.4031372070312
8,4,721,571.3012084960938
9,0,201,1227.9825439453125
9,5,261,660.82470703125
9,1,128,5246.28564453125
9,3,345,533.57275390625
9,2,387,584.0624389648438
9,4,721,567.9697875976562
9,6,298,3048.5322265625
10,1,128,5223.83203125
10,0,201,1223.86328125
10,5,261,659.6322631835938
10,6,298,3027.90869140625
10,2,387,582.9267578125
10,4,721,566.6280517578125
10,3,345,533.2821044921875
